Time (s) Auto,Angle (rad) Run #2
26.02,26.65117383
26.04,26.61626725
26.06,26.56390738
26.08,26.51154751
26.1,26.45918764
26.12,26.40682777
26.14,26.33701461
26.16,26.28465474
26.18,26.21484158
26.2,26.12757513
26.22,26.05776197
26.24,25.98794881
26.26,25.90068236
26.28,25.81341591
26.3,25.72614946
26.32,25.62142972
26.34,25.53416327
26.36,25.42944353
26.38,25.32472379
26.4,25.22000405
26.42,25.11528431
26.44,25.01056457
26.46,24.88839154
26.48,24.7836718
26.5,24.66149877
26.52,24.53932574
26.54,24.41715271
26.56,24.29497968
26.58,24.17280665
26.6,24.03318033
26.62,23.9110073
26.64,23.77138098
26.66,23.63175466
26.68,23.50958163
26.7,23.36995531
26.72,23.23032899
26.74,23.09070267
26.76,22.95107635
26.78,22.79399674
26.8,22.65437042
26.82,22.5147441
26.84,22.37511778
26.86,22.21803817
26.88,22.07841185
26.9,21.93878553
26.92,21.78170592
26.94,21.6420796
26.96,21.48499999
26.98,21.34537367
27,21.20574735
27.02,21.04866774
27.04,20.90904142
27.06,20.7694151
27.08,20.61233549
27.1,20.47270917
27.12,20.33308285
27.14,20.19345653
27.16,20.05383021
27.18,19.91420389
27.2,19.77457757
27.22,19.63495125
27.24,19.49532493
27.26,19.35569861
27.28,19.23352558
27.3,19.09389926
27.32,18.97172623
27.34,18.8495532
27.36,18.70992688
27.38,18.58775385
27.4,18.46558082
27.42,18.36086108
27.44,18.23868805
27.46,18.11651502
27.48,18.01179528
27.5,17.90707554
27.52,17.8023558
27.54,17.69763606
27.56,17.59291632
27.58,17.48819658
27.6,17.40093013
27.62,17.29621039
27.64,17.20894394
27.66,17.12167749
27.68,17.05186433
27.7,16.96459788
27.72,16.89478472
27.74,16.80751827
27.76,16.73770511
27.78,16.68534524
27.8,16.61553208
27.82,16.56317221
27.84,16.49335905
27.86,16.44099918
27.88,16.4060926
27.9,16.35373273
27.92,16.31882615
27.94,16.28391957
27.96,16.24901299
27.98,16.21410641
28,16.17919983
28.02,16.16174654
28.04,16.14429325
28.06,16.12683996
28.08,16.10938667
28.1,16.10938667
28.12,16.10938667
28.14,16.10938667
28.16,16.10938667
28.18,16.10938667
28.2,16.12683996
28.22,16.14429325
28.24,16.16174654
28.26,16.17919983
28.28,16.19665312
28.3,16.2315597
28.32,16.26646628
28.34,16.30137286
28.36,16.33627944
28.38,16.37118602
28.4,16.42354589
28.42,16.45845247
28.44,16.51081234
28.46,16.56317221
28.48,16.63298537
28.5,16.68534524
28.52,16.7551584
28.54,16.82497156
28.56,16.89478472
28.58,16.96459788
28.6,17.03441104
28.62,17.12167749
28.64,17.19149065
28.66,17.2787571
28.68,17.36602355
28.7,17.45329
28.72,17.54055645
28.74,17.64527619
28.76,17.73254264
28.78,17.83726238
28.8,17.92452883
28.82,18.02924857
28.84,18.13396831
28.86,18.23868805
28.88,18.36086108
28.9,18.46558082
28.92,18.57030056
28.94,18.69247359
28.96,18.79719333
28.98,18.91936636
29,19.0240861
29.02,19.14625913
29.04,19.26843216
29.06,19.39060519
29.08,19.51277822
29.1,19.63495125
29.12,19.75712428
29.14,19.87929731
29.16,20.00147034
29.18,20.12364337
29.2,20.2458164
29.22,20.36798943
29.24,20.49016246
29.26,20.62978878
29.28,20.75196181
29.3,20.87413484
29.32,20.99630787
29.34,21.1184809
29.36,21.24065393
29.38,21.36282696
29.4,21.48499999
29.42,21.60717302
29.44,21.72934605
29.46,21.85151908
29.48,21.97369211
29.5,22.09586514
29.52,22.20058488
29.54,22.32275791
29.56,22.44493094
29.58,22.54965068
29.6,22.65437042
29.62,22.77654345
29.64,22.88126319
29.66,22.98598293
29.68,23.09070267
29.7,23.19542241
29.72,23.30014215
29.74,23.40486189
29.76,23.49212834
29.78,23.59684808
29.8,23.68411453
29.82,23.78883427
29.84,23.87610072
29.86,23.96336717
29.88,24.05063362
29.9,24.12044678
29.92,24.20771323
29.94,24.27752639
29.96,24.36479284
29.98,24.434606
30,24.50441916
30.02,24.55677903
30.04,24.62659219
30.06,24.69640535
30.08,24.74876522
30.1,24.80112509
30.12,24.85348496
30.14,24.90584483
30.16,24.94075141
30.18,24.99311128
30.2,25.02801786
30.22,25.06292444
30.24,25.09783102
30.26,25.1327376
30.28,25.16764418
30.3,25.18509747
30.32,25.20255076
30.34,25.22000405
30.36,25.23745734
30.38,25.25491063
30.4,25.25491063
30.42,25.25491063
30.44,25.25491063
30.46,25.25491063
30.48,25.25491063
30.5,25.25491063
30.52,25.23745734
30.54,25.22000405
30.56,25.20255076
30.58,25.18509747
30.6,25.16764418
30.62,25.1327376
30.64,25.11528431
30.66,25.08037773
30.68,25.04547115
30.7,25.01056457
30.72,24.97565799
30.74,24.92329812
30.76,24.88839154
30.78,24.83603167
30.8,24.7836718
30.82,24.73131193
30.84,24.67895206
30.86,24.6091389
30.88,24.55677903
30.9,24.48696587
30.92,24.434606
30.94,24.36479284
30.96,24.29497968
30.98,24.22516652
31,24.13790007
31.02,24.06808691
